,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Longyearbyen,78.22,15.64,-5.0,73,20,3.6,SJ,1603376742
1,Iqaluit,63.75,-68.51,-2.0,79,75,3.5,CA,1603376743
2,Busselton,-33.65,115.33,11.11,83,0,6.51,AU,1603376668
3,Weligama,5.97,80.42,26.76,83,34,4.14,LK,1603376669
4,Yellowknife,62.46,-114.35,-5.0,85,90,3.6,CA,1603376460
5,Songkhla,6.83,100.67,24.0,100,75,1.0,TH,1603376671
6,Albany,42.6,-73.97,17.22,72,0,1.3,US,1603376672
7,Mataura,-46.19,168.86,11.11,85,100,0.96,NZ,1603376674
8,Hilo,19.73,-155.09,21.0,56,1,3.6,US,1603376675
9,Molo,-0.25,35.74,17.25,73,69,3.09,KE,1603376676
10,Ribeira Grande,38.52,-28.7,19.0,59,75,3.6,PT,1603376677
11,Torbay,47.67,-52.73,17.78,82,75,11.3,CA,1603376678
12,George Town,5.41,100.34,26.0,83,40,1.5,MY,1603376679
13,Punta Arenas,-53.15,-70.92,11.0,62,75,5.7,CL,1603376680
14,Puerto Ayora,-0.74,-90.35,19.44,96,82,2.24,EC,1603376682
15,Rikitea,-23.12,-134.97,23.1,77,100,6.53,PF,1603376683
16,Jamestown,42.1,-79.24,12.0,100,90,1.5,US,1603376684
17,Saint George,37.1,-113.58,11.0,25,1,2.1,US,1603376425
18,Straumen,63.87,11.3,4.44,86,75,1.5,NO,1603376686
19,Sobolevo,54.43,31.9,9.68,83,100,6.1,RU,1603376687
20,Raudeberg,61.99,5.14,6.67,72,46,9.63,NO,1603376689
21,Necochea,-38.55,-58.74,13.33,87,100,3.13,AR,1603376690
22,New Norfolk,-42.78,147.06,12.22,83,100,0.61,AU,1603376691
23,San Quintín,30.48,-115.95,18.58,77,100,1.63,MX,1603376692
24,Dikson,73.51,80.55,-1.71,95,100,7.97,RU,1603376988
25,Yar-Sale,66.83,70.83,-7.66,97,94,4.27,RU,1603376989
26,Quatre Cocos,-20.21,57.76,25.0,65,20,4.1,MU,1603376990
27,Labuhan,-6.88,112.21,28.01,76,6,1.7,ID,1603376993
28,Khovd,48.01,91.64,2.61,70,4,0.43,MN,1603376994
29,Honningsvåg,70.98,25.97,0.0,79,75,3.6,NO,1603376996
30,Atuona,-9.8,-139.03,25.23,77,9,6.35,PF,1603376997
31,Avenal,36.0,-120.13,16.67,54,20,1.5,US,1603376998
32,Najrān,17.49,44.13,29.0,9,0,4.1,SA,1603376999
33,Praia da Vitória,38.73,-27.07,18.89,72,75,6.68,PT,1603377000
34,Saldanha,-33.01,17.94,28.0,30,22,6.7,ZA,1603377002
35,Port Elizabeth,-33.92,25.57,23.0,73,0,5.1,ZA,1603377006
36,Adrar,20.5,-10.07,34.47,12,57,3.02,MR,1603377008
37,Lodwar,3.12,35.6,35.49,24,68,5.15,KE,1603377011
38,Vaini,-21.2,-175.2,21.0,88,75,1.5,TO,1603377012
39,Kirovskiy,45.09,133.51,3.05,80,100,1.61,RU,1603377013
